feedtype,feedurl
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_nb/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ag/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_sz/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ur/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_ff/en/system_regions.json
system_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/system_information.json
station_information,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/station_information.json
station_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/station_status.json
free_bike_status,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/free_bike_status.json
system_hours,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/system_hours.json
system_regions,https://api.nextbike.net/maps/gbfs/v1/nextbike_vn/en/system_regions.json
